24.54.76.216 ,8
82.252.162.81 ,22
222.33.90.199 ,12
210.245.165.136 ,32
218.69.108.57 ,13
210.118.170.95 ,18
211.167.68.59 ,13
61.74.96.178 ,23
208.62.55.75 ,23
210.223.97.117 ,7
217.187.83.139 ,23
82.83.227.67 ,23
220.94.205.45 ,23
211.107.232.1 ,41
212.65.68.82 ,23
83.116.207.11 ,32
218.146.61.230 ,23
207.30.238.8 ,46
203.101.45.59 ,23
82.68.222.194 ,23
82.68.222.195 ,23
211.72.151.162 ,21
216.12.111.241 ,23
211.42.188.206 ,23
67.95.49.172 ,23
84.102.20.2 ,23
206.47.209.10 ,23
217.187.83.50 ,19
172.181.208.156 ,23
218.38.58.3 ,1
